"LabCode"	"Sex"	"Age"	"Ancy"	"Cysto"	"Tri"	"Tani"	"Dipy"	"Meso"	"Spiru"	"IgA"	"IgG"	"mucin"	"censor"	"age"	"Clan"	"age_death"	"rich_a"	"year"	"IMDS1"	"IMDS2"	"PMDS1"	"PMDS2"	"Diphyllobothrium"
"335"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	44739.81424	28.33800714	88.23171755	1	4858	"I"	6757	NA	"2009"	-0.129745417210923	-0.0653238226078322	NA	NA	NA
"4A"	"2"	"3"	0	0	0	0	0	0	0	4909.928072	0	93.22696709	0	2017	"I"	2113	0	"2010"	-0.550552777253222	-0.054554792341117	NA	NA	0
"320"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	131914.9946	1300.305928	74.51198937	1	163	"M"	180	NA	"2008"	0.476608567280633	0.345293765402999	NA	NA	NA
"260"	"1"	"3"	100	62.5	0	50	0	962.5	50	NA	NA	303.388018	0	906	"M"	1953	5	"2010"	NA	NA	0.21805717401211	-1.37017034957253	25
"327"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	374874.7016	1179.794567	68.06972526	1	326	"M"	830	NA	"2009"	0.59405228382813	0.1835059490292	NA	NA	NA
"322"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	388884.3418	14.44878384	111.7151999	0	204	"M"	3270	NA	"2009"	0.122586629052887	-0.324560291311461	NA	NA	NA
"26A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	95.3701648	0	829	"M"	3218	0	"2010"	NA	NA	NA	NA	0
"326"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	8519217.47	NA	219.6341415	0	206	"M"	3218	NA	"2009"	NA	NA	NA	NA	NA
"319"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	4356111.169	NA	103.6240404	1	55	"M"	686	NA	"2008"	NA	NA	NA	NA	NA
"325"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	5141858.333	4038.331683	142.9020892	1	183	"M"	669	NA	"2009"	0.832709416755754	-0.0504243166823833	NA	NA	NA
"291"	"1"	"3"	0	0	0	0	0	0	0	NA	NA	120.9921293	0	NA	"M"	NA	1	"2016"	NA	NA	-1.28857580067895	-0.0368980129783225	1225
"253"	"1"	"3"	0	0	0	0	0	0	0	NA	NA	66.46842477	0	726	"M"	1055	0	"2010"	NA	NA	NA	NA	0
"14M"	"1"	"3"	0	0	0	0	0	0	0	3465.464784	9.337158364	23.91418061	0	NA	"I"	NA	0	"2016"	-0.230037298981538	0.0341271053508169	NA	NA	0
"254"	"1"	"3"	75	0	0	25	0	0	0	NA	NA	45.34178608	0	726	"M"	3115	1	"2010"	NA	NA	1.15141651562415	-0.922052021717906	0
"27A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	61.38791563	0	864	"M"	2970	1	"2011"	NA	NA	-1.28857580067895	-0.0368980129783225	75
"28A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	66.38979118	0	2331	"M"	2895	1	"2015"	NA	NA	-1.28857580067895	-0.0368980129783224	125
"87F"	"1"	"3"	25	0	0	0	0	0	0	NA	NA	NA	0	NA	"M"	NA	1	"2016"	NA	NA	-0.092902491133476	0.536181495481637	25
"256"	"1"	"1"	3600	0	0	0	75	75	125	NA	NA	115.7923428	0	153	"M"	2536	3	"2010"	NA	NA	1.03551828391295	-0.535160685642694	0
"259"	"1"	"3"	12.5	50	0	0	0	0	0	NA	NA	51.49483837	1	NA	"M"	NA	2	"2010"	NA	NA	0.265541419187564	0.101357845513573	37.5
"255"	"1"	"3"	25	137.5	0	75	0	0	0	NA	NA	28.95995618	0	NA	"M"	NA	3	"2010"	NA	NA	0.406206465045446	-1.3221949981372	50
"29A"	"2"	"3"	0	0	25	0	0	0	0	NA	NA	72.78007873	1	1414	"M"	1771	2	"2014"	NA	NA	-0.581277740336553	-1.72087543984185	350
"30A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	70.09421603	0	1432	"M"	2338	1	"2014"	NA	NA	-1.28857580067895	-0.0368980129783225	1475
"31A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	66.87620569	0	1714	"M"	2295	1	"2015"	NA	NA	-1.28857580067895	-0.0368980129783225	125
"1M"	"1"	"3"	600	350	0	0	0	50	0	NA	60.80497052	117.2678276	0	NA	"I"	NA	3	"2011"	NA	NA	-0.0954392252810667	-0.252049070907742	4825
"7M"	"1"	"3"	25	0	0	0	0	0	0	NA	49.4687064	32.82785766	0	NA	"M"	NA	1	"2011"	NA	NA	-0.426437993122536	0.2397402996681	375
"9M"	"1"	"3"	0	0	0	0	0	0	0	NA	NA	24.18224289	0	NA	"M"	NA	0	"2014"	NA	NA	NA	NA	0
"10M"	"1"	"3"	50	25	50	0	0	0	0	NA	NA	72.07156279	0	NA	"M"	NA	3	"2013"	NA	NA	0.647656535764732	-1.34582571053719	75
